epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5970.02,2.40555,3.90619,2.01334,0.39958,0.07257,0.04839,0.02126,2.72946,4.06964,2.12316,4.49699e-05,4.49699e-05,4.49699e-05
2,11653.6,2.34182,3.73264,1.96527,0.375,0.09138,0.06664,0.03293,2.659,3.91489,2.0507,8.10628e-05,8.10628e-05,8.10628e-05
3,16655.6,2.28287,3.55849,1.91535,0.38275,0.11484,0.08727,0.04438,2.57156,3.74106,2.01456,0.000108246,0.000108246,0.000108246
4,21660.7,2.19252,3.37067,1.85227,0.35432,0.13909,0.10758,0.05589,2.52471,3.68162,2.0383,9.4905e-05,9.4905e-05,9.4905e-05
5,26465.1,2.10223,3.20482,1.79986,0.28704,0.14081,0.11518,0.0633,2.43772,3.58424,1.9557,8.154e-05,8.154e-05,8.154e-05
6,31219.8,2.03949,3.07969,1.7592,0.30165,0.17474,0.13713,0.0742,2.39471,3.48548,1.93158,6.8175e-05,6.8175e-05,6.8175e-05
7,36274.3,1.98414,2.9696,1.72455,0.28325,0.1859,0.14698,0.08429,2.34295,3.39878,1.87757,5.481e-05,5.481e-05,5.481e-05
8,40619.8,1.94448,2.89531,1.70386,0.32799,0.18734,0.15799,0.09232,2.32649,3.35395,1.89777,4.1445e-05,4.1445e-05,4.1445e-05
9,45095,1.9094,2.83873,1.6791,0.3249,0.19319,0.16433,0.09692,2.28148,3.32328,1.8619,2.808e-05,2.808e-05,2.808e-05
10,49133.5,1.8844,2.79494,1.66369,0.35612,0.19343,0.16883,0.10171,2.27168,3.30018,1.84405,1.4715e-05,1.4715e-05,1.4715e-05
